"MoleculeName","MoleculeType","MoleculeGroup"
"16S","rRNA","SSU"
"18S","rRNA","SSU"
"23S","rRNA","LSU"
"25S","rRNA","LSU"
"28S","rRNA","LSU"
"2S","rRNA","LSU"
"5.8S","rRNA","LSU"
"5S","rRNA","LSU"
"bL17","rProtein","LSU"
"bL19","rProtein","LSU"
"bL20","rProtein","LSU"
"bL21","rProtein","LSU"
"bL25","rProtein","LSU"
"bL27","rProtein","LSU"
"bL28","rProtein","LSU"
"bL31","rProtein","LSU"
"bL32","rProtein","LSU"
"bL34","rProtein","LSU"
"bL35","rProtein","LSU"
"bL36","rProtein","LSU"
"bL9","rProtein","LSU"
"bS16","rProtein","SSU"
"bS18","rProtein","SSU"
"bS20","rProtein","SSU"
"bS21","rProtein","SSU"
"bS6","rProtein","SSU"
"cp16S","rRNA","cpSSU"
"cp23S","rRNA","cpLSU"
"cp4.5S","rRNA","cpLSU"
"cp5S","rRNA","cpLSU"
"eL13","rProtein","LSU"
"eL14","rProtein","LSU"
"eL15","rProtein","LSU"
"eL18","rProtein","LSU"
"eL19","rProtein","LSU"
"eL20","rProtein","LSU"
"eL21","rProtein","LSU"
"eL22","rProtein","LSU"
"eL24","rProtein","LSU"
"eL27","rProtein","LSU"
"eL29","rProtein","LSU"
"eL30","rProtein","LSU"
"eL31","rProtein","LSU"
"eL32","rProtein","LSU"
"eL33","rProtein","LSU"
"eL34","rProtein","LSU"
"eL36","rProtein","LSU"
"eL37","rProtein","LSU"
"eL38","rProtein","LSU"
"eL39","rProtein","LSU"
"eL40","rProtein","LSU"
"eL41","rProtein","LSU"
"eL42","rProtein","LSU"
"eL43","rProtein","LSU"
"eL6","rProtein","LSU"
"eL8","rProtein","LSU"
"eP1","rProtein","LSU"
"eP2","rProtein","LSU"
"eS1","rProtein","SSU"
"eS10","rProtein","SSU"
"eS12","rProtein","SSU"
"eS17","rProtein","SSU"
"eS19","rProtein","SSU"
"eS21","rProtein","SSU"
"eS24","rProtein","SSU"
"eS25","rProtein","SSU"
"eS26","rProtein","SSU"
"eS27","rProtein","SSU"
"eS28","rProtein","SSU"
"eS30","rProtein","SSU"
"eS31","rProtein","SSU"
"eS4","rProtein","SSU"
"eS6","rProtein","SSU"
"eS7","rProtein","SSU"
"eS8","rProtein","SSU"
"mt16S","rRNA","mtLSU"
"mt21S","rRNA","mtLSU"
"RACK1","rProtein","SSU"
"STM1","rProtein","SSU"
"THX","rProtein","SSU"
"uL10","rProtein","LSU"
"uL11","rProtein","LSU"
"uL13","rProtein","LSU"
"uL14","rProtein","LSU"
"uL15","rProtein","LSU"
"uL16","rProtein","LSU"
"uL18","rProtein","LSU"
"uL2","rProtein","LSU"
"uL22","rProtein","LSU"
"uL23","rProtein","LSU"
"uL24","rProtein","LSU"
"uL29","rProtein","LSU"
"uL3","rProtein","LSU"
"uL30","rProtein","LSU"
"uL4","rProtein","LSU"
"uL5","rProtein","LSU"
"uL6","rProtein","LSU"
"uS10","rProtein","SSU"
"uS11","rProtein","SSU"
"uS12","rProtein","SSU"
"uS13","rProtein","SSU"
"uS14","rProtein","SSU"
"uS15","rProtein","SSU"
"uS17","rProtein","SSU"
"uS19","rProtein","SSU"
"uS2","rProtein","SSU"
"uS3","rProtein","SSU"
"uS4","rProtein","SSU"
"uS5","rProtein","SSU"
"uS7","rProtein","SSU"
"uS8","rProtein","SSU"
"uS9","rProtein","SSU"
